PARK,YEAR,DENSITY(deer/sq km),95%CI,SE,# OF GROUPS,# UNCLASSIFIED,#BUCKS,# DOES,# FAWNS
,,,,,3 nights except(),,,,
,,,,,,,,,
ANTI,2013,54.66,28.55-104.65,9.79,298,299,37,122,71
MONO,2013,71.58,63.88-80.20,4.1,242(2),191,60,160,89
PISC,2013,33.96,25.73-44.81,4.42,89,53,23,59,39
GREE,2013,60.96,43.95-84.55,9.56,74,9,24,69,38
MANA,2013,34.35,26.01-45.36,4.16,84(2),72,31,102,41
CATO,2013,17.01,14.49-19.96,1.23,166(5),56,14,53,21
GWMP,2013,13.26,8.95-19.65,2.42,45(5),12,4,43,12
CHOH,2013,26.42,19.86-35.15,3.03,88,46,15,36,10
PRWI,2013,23.77,17.84-31.68,2.71,163(4),41,41,103,40
ROCR,2013,30.05,22.7-39.78,3.61,120,39,47,79,42
FTWA,2013,79.04,55.64-112.28,12.63,67,2,16,82,53
PARK,YEAR,DENSITY(deer/sq km),95%CI,SE,#OF GROUPS,%UNCLASSIFIED,%BUCKS,% DOES,% FAWNS
ANTI,2012,49.36,37.79-64.47,4.06,486,63,10,64,26
MONO,2012,81.78,66.01-101.33,5.8,267(2),19,12,65,23
PISC,2012,25.57,15.97-40.92,4.76,90(4),27,23,59,18
GREE,2012,73.29,60.70-88.48,6.82,103(4),23,16,68,16
MANA,2012,33.99,16.85-68.57,5.98,124(2),32,13,65,21
CATO,2012,7.08,5.4-9.3,0.85,54(4),49,27,50,23
GWMP,2012,34.03,20.79-55.07,6.33,46,15,5,82,13
CHOH,2012,30.2,26.07-34.99,2.23,103,23,13,73,14
PRWI,2012,17.1,13.3-22.1,1.7,150(4),21,26,48,26
ROCR,2012,28.34,20.00-40.15,4.1,88,16,16,60,24
FTWA,2012,45.27,27.45-74.64,9.02,70(4),5,16,54,30
