Event_Group_ID,Event_ID,Data_ID,Park_Code,Route,Start_Date,Year,Group_Index,Route Section,Route_Length,DistanceToDeer,Angle,DistanceFromRoad,Bucks,Doe,Fawn,Unknown,Total_Group,Import_Event_ID,Mileage,Time,Date_Time_Entered,Verified,Wind Speed,Sky,Moon_Phase,Temperature,Event_Notes
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{D1ACAF19-D121-4D67-97A1-35084A9EE869},CATO,CATO,10/21/01,2001,1,Park Central,7.564,20,90,20,0,0,0,2,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{7026B373-F001-4EFC-BC6C-096FCB686642},CATO,CATO,10/21/01,2001,2,Park Central,7.564,63,90,63,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{7357AB3A-F1C3-481B-885F-2000E28878AF},CATO,CATO,10/21/01,2001,3,Park Central,7.564,95,90,95,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{7743EE2E-33DB-418F-B78E-8F87B98F8AB2},CATO,CATO,10/21/01,2001,4,Park Central,7.564,64,90,64,0,0,0,3,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{7A11CD9B-E126-4405-964C-71355A367FE7},CATO,CATO,10/21/01,2001,5,Park Central,7.564,18,90,18,0,1,2,0,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{83ACC309-E685-44D3-A3C2-DA44C55E4833},CATO,CATO,10/21/01,2001,6,Park Central,7.564,43,90,43,0,2,1,0,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{883A0A2A-AD1B-443A-B4D0-2DCDE735B589},CATO,CATO,10/21/01,2001,7,Park Central,7.564,28,90,28,0,1,0,1,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{89585B3C-C957-4B61-9FF2-35181DEC35B6},CATO,CATO,10/21/01,2001,8,Park Central,7.564,29,90,29,0,1,0,0,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{985EDC4F-33C6-4FB2-8F45-8714C5E1AEEA},CATO,CATO,10/21/01,2001,9,Park Central,7.564,20,90,20,0,1,0,0,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{9E6F34DF-5145-4742-B7DD-F2779BD13EBE},CATO,CATO,10/21/01,2001,10,Park Central,7.564,69,90,69,0,0,0,3,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{A2B6BF1C-6AFC-43CC-843E-A050DF33BB83},CATO,CATO,10/21/01,2001,11,Park Central,7.564,60,90,60,0,1,1,0,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{B227A858-6E2A-479E-844A-4049D538553A},CATO,CATO,10/21/01,2001,12,Park Central,7.564,32,90,32,0,3,2,0,5,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{B40481D5-CACA-436F-92D3-1FB49DC76F81},CATO,CATO,10/21/01,2001,13,Park Central,7.564,28,90,28,0,1,1,1,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{6EF9DE15-9271-405B-87B5-A32D84452F7D},CATO,CATO,10/21/01,2001,14,Park Central,7.564,38,90,38,0,1,1,0,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{C4E2124E-AD55-4217-B9A7-05389FB4A466},CATO,CATO,10/21/01,2001,15,Park Central,7.564,34,90,34,0,0,1,1,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65,
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{C3B00543-C6A3-4CD8-9A4D-E1E16B93B596},CATO,CATO,10/21/01,2001,16,Park Central,7.564,23,90,23,0,0,1,1,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{DBB6C3C9-B92B-45F9-A67B-15E7769C918E},CATO,CATO,10/21/01,2001,17,Park Central,7.564,55,90,55,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{E9DDF453-C008-43AC-92DD-887913D1D57D},CATO,CATO,10/21/01,2001,18,Park Central,7.564,112,90,112,0,1,0,1,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{EB5FD310-A801-43CF-A5CB-142F7F695E36},CATO,CATO,10/21/01,2001,19,Park Central,7.564,45,90,45,0,0,0,2,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{F40F9272-97F3-4305-8777-7C9EB175AD58},CATO,CATO,10/21/01,2001,20,Park Central,7.564,85,90,85,0,0,0,3,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{F860EE18-2983-4726-97F4-CDFC7C8BB144},CATO,CATO,10/21/01,2001,21,Park Central,7.564,11,90,11,1,0,0,0,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{FFF55700-822C-4029-B37F-A5A9DDFBDDDB},CATO,CATO,10/21/01,2001,22,Park Central,7.564,15,90,15,0,2,0,0,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{58BD6831-EFE0-4F6D-A0B5-BCDE6AD68C7C},{0E6A2992-05D8-410C-B5C7-1DF393D92BF8},CATO,CATO,10/21/01,2001,23,Foxville-Deerfield,3.058,22,90,22,0,0,0,3,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{58BD6831-EFE0-4F6D-A0B5-BCDE6AD68C7C},{4CF9E770-60B2-4FE1-B3E3-BD1B05761B32},CATO,CATO,10/21/01,2001,24,Foxville-Deerfield,3.058,35,90,35,0,0,0,2,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{58BD6831-EFE0-4F6D-A0B5-BCDE6AD68C7C},{CBD6E2D0-B3C2-4944-96F1-EFFB5AA8C65C},CATO,CATO,10/21/01,2001,25,Foxville-Deerfield,3.058,48,90,48,0,0,0,2,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{D69D22B1-E674-491F-A6CC-7C47E9C67B49},{21AB4D7C-80CD-4590-90B2-4450102A3527},CATO,CATO,10/21/01,2001,26,Route 77,2.897,49,90,49,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{D69D22B1-E674-491F-A6CC-7C47E9C67B49},{5C125098-E5AF-4699-A5CC-BC297B1ABFCA},CATO,CATO,10/21/01,2001,27,Route 77,2.897,26,90,26,0,0,0,2,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{D69D22B1-E674-491F-A6CC-7C47E9C67B49},{606268C0-F662-4425-B039-E8C972289E34},CATO,CATO,10/21/01,2001,28,Route 77,2.897,50,90,50,0,0,0,2,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{B6C541D6-2B16-4E88-9C91-9519598131F0},CATO,CATO,10/21/01,2001,29,Park Central,7.564,35,90,35,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{88F916DF-742B-4946-91F7-AAA6E139431B},CATO,CATO,10/21/01,2001,30,Manahan,3.058,60,90,60,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
