Event_Group_ID,Event_ID,Data_ID,Park_Code,Route,Start_Date,Year,Group_Index,Route Section,Route_Length,DistanceToDeer,Angle,DistanceFromRoad,Bucks,Doe,Fawn,Unknown,Total_Group,Import_Event_ID,Mileage,Time,Date_Time_Entered,Verified,Wind Speed,Sky,Moon_Phase,Temperature,Event_Notes
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{42258933-69A8-4216-B305-F4A240CCA944},CHOH,CHOH,10/29/01,2001,1,CHOH,,44,90,44,0,1,0,0,1,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{86A50D5C-B3BA-4C54-9B6E-915780F120E8},CHOH,CHOH,10/29/01,2001,2,CHOH,,46,90,46,0,1,0,0,1,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{8637D5B4-6515-45E8-AA3D-2F2F5EE38C19},CHOH,CHOH,10/29/01,2001,3,CHOH,,39,90,39,0,0,0,2,2,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{7E667454-8590-43D8-9CD7-7CC723A0BBA4},CHOH,CHOH,10/29/01,2001,4,CHOH,,32,90,32,0,2,1,0,3,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{73B27134-5B55-4649-B5B8-49330BE376A3},CHOH,CHOH,10/29/01,2001,5,CHOH,,10,90,10,0,1,0,0,1,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{6C1BAD97-F772-4141-B89D-DA3FAB7C8F7D},CHOH,CHOH,10/29/01,2001,6,CHOH,,24,90,24,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{51E26E31-A65B-4D89-87A6-D9180A04F6BC},CHOH,CHOH,10/29/01,2001,7,CHOH,,17,90,17,0,0,2,0,2,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{9596EBDE-D05E-4B4D-8F79-B6942D0CDB28},CHOH,CHOH,10/29/01,2001,8,CHOH,,1,90,1,0,3,0,0,3,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{485AA51A-6D95-45BA-BE58-F02BED6A0409},CHOH,CHOH,10/29/01,2001,9,CHOH,,62,90,62,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{70A45555-B0B8-4894-B089-3AC953D3945E},CHOH,CHOH,10/29/01,2001,10,CHOH,,28,90,28,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{3F2CBF95-43B7-4FF4-84A3-56BABC7A1260},CHOH,CHOH,10/29/01,2001,11,CHOH,,40,90,40,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{36FC84C9-FA72-4312-A53E-F4D7ABB76141},CHOH,CHOH,10/29/01,2001,12,CHOH,,26,90,26,1,0,0,0,1,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{34408A0F-603E-4BB4-8A17-DDD1B5614396},CHOH,CHOH,10/29/01,2001,13,CHOH,,23,90,23,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{26B833B5-EAA9-4FBE-9097-F10B89A3B4A8},CHOH,CHOH,10/29/01,2001,14,CHOH,,44,90,44,2,0,0,0,2,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{263352DD-18BB-4334-86C4-D15AF8B23E04},CHOH,CHOH,10/29/01,2001,15,CHOH,,33,90,33,0,1,0,0,1,,,,,TRUE,,Partly Cloudy,Full Moon,55,
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{10A615D7-9149-4BAC-86D9-C4FBAA25744A},CHOH,CHOH,10/29/01,2001,16,CHOH,,28,90,28,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{081FB503-F9BD-40C6-9BB5-1AB310DBBA83},CHOH,CHOH,10/29/01,2001,17,CHOH,,25,90,25,0,1,0,0,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{4F685895-D9AE-4F7B-8846-D9DBA62C4035},CHOH,CHOH,10/29/01,2001,18,CHOH,,50,90,50,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{DE37D078-B5C7-4812-AAD7-3EBF2C9A086E},CHOH,CHOH,10/29/01,2001,19,CHOH,,63,90,63,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{5D2917F8-C3BC-44F0-8762-E629B03DE715},CHOH,CHOH,10/29/01,2001,20,CHOH,,27,90,27,0,2,0,0,2,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{9A465518-5F37-4E9D-908D-5CBF5FC0D562},CHOH,CHOH,10/29/01,2001,21,CHOH,,7,90,7,0,1,0,0,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{EFD72D7D-0F54-439E-BCE6-5E9745C6E002},CHOH,CHOH,10/29/01,2001,22,CHOH,,38,90,38,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{E6EAF5EB-7596-447F-81A3-B7A9A0B91D39},CHOH,CHOH,10/29/01,2001,23,CHOH,,27,90,27,0,0,1,0,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{FDC0C70C-97A0-4A7C-B5B1-3D7CA7C69513},CHOH,CHOH,10/29/01,2001,24,CHOH,,36,90,36,0,1,0,0,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{CBE8D485-D5D2-475D-846D-63D969C03CAC},CHOH,CHOH,10/29/01,2001,25,CHOH,,50,90,50,0,0,0,2,2,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{BC69C911-EE0B-49F7-B5BE-025A95D3BA3B},CHOH,CHOH,10/29/01,2001,26,CHOH,,31,90,31,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{BA000BD5-FCDA-455D-B3AA-2E469E596FF4},CHOH,CHOH,10/29/01,2001,27,CHOH,,3,90,3,0,2,0,0,2,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{B89A1E9E-34C5-4B16-B0D8-0B4414FA1F1B},CHOH,CHOH,10/29/01,2001,28,CHOH,,55,90,55,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{B337145F-AD69-48BC-A25A-13B20EAA421E},CHOH,CHOH,10/29/01,2001,29,CHOH,,27,90,27,1,0,0,0,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{A6E68C51-4926-4AC1-A611-D8003FE4ABEB},CHOH,CHOH,10/29/01,2001,30,CHOH,,22,90,22,0,2,0,0,2,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{A423EE7B-72E7-48D9-AA50-4147E6E45BC5},CHOH,CHOH,10/29/01,2001,31,CHOH,,42,90,42,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{3A5CA3A7-2F3F-47C5-9A4C-5779FFD0DFA8},{5C193B48-333C-4948-BBA6-707630E827A0},{EA072106-CF3E-4A85-AF22-3523F1D6831A},CHOH,CHOH,10/29/01,2001,32,CHOH,,72,90,72,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Full Moon,55
{62617EFA-7FE2-42B3-B1EC-3BBC99164737},{3E93F41E-36E9-4859-B11D-E7AE67A55933},{C0DC70AC-9F0B-4978-AF35-EB4819445578},CHOH,CHOH,10/30/01,2001,33,CHOH,,51,90,51,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,Full Moon,58
{62617EFA-7FE2-42B3-B1EC-3BBC99164737},{3E93F41E-36E9-4859-B11D-E7AE67A55933},{AB777BCC-D441-47B5-8504-7A540D37DF91},CHOH,CHOH,10/30/01,2001,34,CHOH,,51,90,51,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,Full Moon,58
{62617EFA-7FE2-42B3-B1EC-3BBC99164737},{3E93F41E-36E9-4859-B11D-E7AE67A55933},{E61A4DA2-56EE-451B-9805-C67049EB4F94},CHOH,CHOH,10/30/01,2001,35,CHOH,,19,90,19,0,1,0,0,1,,,,,TRUE,,Cloudy/Overcast,Full Moon,58
{62617EFA-7FE2-42B3-B1EC-3BBC99164737},{3E93F41E-36E9-4859-B11D-E7AE67A55933},{C7686886-A439-457E-99EB-9C3CE4A934E5},CHOH,CHOH,10/30/01,2001,36,CHOH,,25,90,25,0,1,0,0,1,,,,,TRUE,,Cloudy/Overcast,Full Moon,58
{62617EFA-7FE2-42B3-B1EC-3BBC99164737},{3E93F41E-36E9-4859-B11D-E7AE67A55933},{FFE40514-8B30-4C0D-AEEB-97C116C8A249},CHOH,CHOH,10/30/01,2001,37,CHOH,,51,90,51,0,0,0,2,2,,,,,TRUE,,Cloudy/Overcast,Full Moon,58
{62617EFA-7FE2-42B3-B1EC-3BBC99164737},{3E93F41E-36E9-4859-B11D-E7AE67A55933},{D8271E1C-BDFA-47E1-A14D-5DFCEECC5379},CHOH,CHOH,10/30/01,2001,38,CHOH,,40,90,40,0,1,0,0,1,,,,,TRUE,,Cloudy/Overcast,Full Moon,58
