Event_Group_ID,Event_ID,Data_ID,Park_Code,Route,Start_Date,Year,Group_Index,Route Section,Route_Length,DistanceToDeer,Angle,DistanceFromRoad,Bucks,Doe,Fawn,Unknown,Total_Group,Import_Event_ID,Mileage,Time,Date_Time_Entered,Verified,Wind Speed,Sky,Moon_Phase,Temperature,Event_Notes
{DDCE0B29-55AF-4A48-BE96-4BEA537DE623},{2AA67131-E87B-4036-A76D-248DE3E5E4DE},{F5D83938-8A99-4EC2-93BB-C8DAE281A305},MONO,MONO,10/29/01,2001,1,Worthington Farm,3.42,6,90,6,1,0,0,0,1,,,,1/4/10,TRUE,,,,,
{DDCE0B29-55AF-4A48-BE96-4BEA537DE623},{2AA67131-E87B-4036-A76D-248DE3E5E4DE},{89A624CA-4BA8-443E-9C74-9FB05D42A3F0},MONO,MONO,10/29/01,2001,2,Worthington Farm,3.42,117,90,117,1,0,0,0,1,,,,1/4/10,TRUE,,,,,
{DDCE0B29-55AF-4A48-BE96-4BEA537DE623},{2AA67131-E87B-4036-A76D-248DE3E5E4DE},{A212A66F-76B0-4C90-A8D5-B3916B9A58ED},MONO,MONO,10/29/01,2001,3,Worthington Farm,3.42,67,90,67,0,1,1,0,2,,,,1/4/10,TRUE,,,,,
{DDCE0B29-55AF-4A48-BE96-4BEA537DE623},{2AA67131-E87B-4036-A76D-248DE3E5E4DE},{A40F3CA1-6197-43F9-BAFF-8E9E2818B9EB},MONO,MONO,10/29/01,2001,4,Worthington Farm,3.42,21,90,21,0,2,1,0,3,,,,1/4/10,TRUE,,,,,
{DDCE0B29-55AF-4A48-BE96-4BEA537DE623},{2AA67131-E87B-4036-A76D-248DE3E5E4DE},{B155626A-71A8-4E43-990E-2430949CB26D},MONO,MONO,10/29/01,2001,5,Worthington Farm,3.42,23,90,23,0,2,1,0,3,,,,1/4/10,TRUE,,,,,
{DDCE0B29-55AF-4A48-BE96-4BEA537DE623},{2AA67131-E87B-4036-A76D-248DE3E5E4DE},{B16C2ECB-9AFB-4680-87E6-9BE21186275E},MONO,MONO,10/29/01,2001,6,Worthington Farm,3.42,110,90,110,0,0,0,1,1,,,,1/4/10,TRUE,,,,,
{DDCE0B29-55AF-4A48-BE96-4BEA537DE623},{2AA67131-E87B-4036-A76D-248DE3E5E4DE},{C0302EFC-9978-44ED-AE95-B47B9183F59F},MONO,MONO,10/29/01,2001,7,Worthington Farm,3.42,62,90,62,0,2,1,0,3,,,,1/4/10,TRUE,,,,,
{DDCE0B29-55AF-4A48-BE96-4BEA537DE623},{2AA67131-E87B-4036-A76D-248DE3E5E4DE},{C129876B-B73A-454A-A46E-AD7A06DB1C97},MONO,MONO,10/29/01,2001,8,Worthington Farm,3.42,82,90,82,0,1,0,0,1,,,,1/4/10,TRUE,,,,,
{DDCE0B29-55AF-4A48-BE96-4BEA537DE623},{2AA67131-E87B-4036-A76D-248DE3E5E4DE},{C24573FD-37E7-430F-AB3A-D0DB371B8E71},MONO,MONO,10/29/01,2001,9,Worthington Farm,3.42,65,90,65,0,5,5,2,12,,,,1/4/10,TRUE,,,,,
{DDCE0B29-55AF-4A48-BE96-4BEA537DE623},{2AA67131-E87B-4036-A76D-248DE3E5E4DE},{CE701609-76BA-49A2-9513-19A89874D8F0},MONO,MONO,10/29/01,2001,10,Worthington Farm,3.42,69,90,69,0,0,0,4,4,,,,1/4/10,TRUE,,,,,
