PARK,YEAR,y.park,y.yr,DENSITY(deer/sq km),95%lower,95%upper,SE,%CVs,%CVT,# OF GROUPS,% UNCLASSIFIED,% BUCKS,% DOES,% FAWNS,FAWN/DOE RATIO,BUCK/DOE RATIO
ANTI,2001,1,1,35.1,28.51,43.21,7.74,8.51,,228,34.4,6,54,40,0.74,9
ANTI,2002,1,2,39.22,35.9,42.84,4.97,4.5,4.22,284,22,9,47,43,0.91,5.22
ANTI,2003,1,3,49.8,39.89,62.17,10.32,8,11.6,,32,15,46,39,0.86,3.06
ANTI,2004,1,4,44.93,39.39,51.25,2.32,5.32,10.9,443,17,13,48,39,0.8,3.54
ANTI,2005,1,5,42.54,33.04,54.77,3.58,8.79,11,242,46,8,65,27,0.41,8.12
ANTI,2006,1,6,42.83,26.93,68.1,6.28,14.65,12,182,23,3,57,40,0.7,17.3
ANTI,2007,1,7,37.14,17.99,76.68,6.29,16.9,12.23,313,47,10,72,18,0.39,7.76
ANTI,2008,1,8,52.71,40.96,67.83,4.79,9.85,12.9,395,40,10,63,26,0.41,6.25
ANTI,2009,1,9,50.21,35.39,71.24,5.03,10,13,405,39,7,66,26,0.39,8.53
ANTI,2010,1,10,49.8,38.59,64.27,4.6,9.23,12.9,410,22,12,58,30,0.51,4.71
ANTI,2011,1,11,50.47,40.78,62.48,4.19,8.31,12.8,432,43,10,55,35,0.63,5.5
MONO,2001,2,1,58.8,48.6,71.14,12.29,8.07,,209,32,5,57,38,0.66,11.4
MONO,2002,2,2,46.76,35.34,61.88,10.68,8.8,8.68,137,12,9,47,43,0.93,5.22
MONO,2003,2,3,63.53,47.17,85.67,17.74,10.8,7.4,343,16,8,50,42,0.87,6.13
MONO,2004,2,4,71.57,63.56,80.58,3.74,5.23,7,,33.3,8,57,34,0.59,7.12
MONO,2005,2,5,58.52,49.21,69.59,4.72,9.5,6.8,197,36,10,65,25,0.38,6.5
MONO,2006,2,6,70.99,31.3,75.57,4.76,9.79,6.4,192,17,8,69,23,0.33,8.6
MONO,2007,2,7,77.66,31.3,161,9.34,14.2,7.5,,17,10,56,34,0.6,5.9
MONO,2008,2,8,77.26,37.78,158.02,9.66,12.68,8,233,22,11,50,39,0.77,4.36
MONO,2009,2,9,53.8,45.87,63.2,3.4,6.32,10,263,19.5,10,59,31,0.52,5.9
MONO,2010,2,10,54.9,25.6,117.4,6.8,12.49,8,,23,14,50,35,0.7,3.57
MONO,2011,2,11,91.09,80.42,103,5.72,6.3,8.07,,27,11,50,39,0.78,4.54
PISC,2001,3,1,42.93,26.06,70.7,9.39,21.89,,76,54,12,65,23,0.37,5.41
PISC,2002,3,2,37.53,30.2,46.64,3.99,10.66,,94,74,20,54,26,0.48,2.7
PISC,2003,3,3,57.73,37.11,89.93,10.02,17.34,14.9,82,74,6,50,43,0.86,7.83
PISC,2004,3,4,41.65,32.1,54.04,5.27,12.66,14.3,84,24,11.5,52,36,0.69,4.52
PISC,2005,3,5,48.86,37.95,56.33,5.05,12.37,13.6,86,49,7,56,35,0.62,8
PISC,2006,3,6,66.59,48.23,91.94,10.9,18.08,13.94,61,34,5,58,36,0.62,11.6
PISC,2007,3,7,22.22,16.4,30.12,3.42,15.42,15.7,56,38,7,47,45,0.97,6.8
PISC,2008,3,8,58.2,42.2,80.27,8.6,29.76,15.3,105,30,16,51,33,0.64,3.05
PISC,2009,3,9,27.18,17.06,43.29,4.85,17.87,17,72,27,15,41,44,1.07,2.73
PISC,2010,3,10,30.13,23.59,38.48,3.62,12.03,15.5,64,36,18,52,30,0.55,2.88
PISC,2011,3,11,27.51,16.1,47.01,5.77,20.97,15.5,50,30,12,67,21,0.31,5.58
GREE,2001,4,1,33.45,25.61,43.69,4.44,13.29,,54,7,18,65,17,0.25,3.61
GREE,2002,4,2,23.88,13.65,41.76,5.72,23.97,11.7,27,4,19,66,15,0.22,3.47
